City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Tabuk,PH,67.98,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
618,Piacabucu,BR,81.5,clear sky,-10.4056,-36.4344,Piaçabuçu News
619,Neiafu,TO,81.93,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
621,Big Spring,US,67.1,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
622,Punta Alta,AR,70.56,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
623,Alyangula,AU,81.41,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
626,Puttur,IN,75.31,clear sky,12.7667,75.2167,Hotel Super Tower
628,Sawakin,SD,72.91,overcast clouds,19.1059,37.3321,فندق الدويم
631,Bintulu,MY,75.61,light rain,3.1667,113.0333,900 Boutique INN
632,Nelson Bay,AU,75.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
633,Itaituba,BR,78.96,moderate rain,-4.2761,-55.9836,Hotel Campos
634,Moranbah,AU,72.79,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
636,Elizabeth City,US,66.25,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
637,Ramos Arizpe,MX,65.82,clear sky,25.55,-100.9667,Mario's Inn
639,Cintalapa,MX,79.34,few clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
641,Ambulu,ID,75.81,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
644,Arawa,PG,79.56,light rain,-6.2132,155.5367,Coastline Guest House
646,Ballina,AU,68.77,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
652,Namibe,AO,73.65,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
653,Moreira Sales,BR,81.16,overcast clouds,-24.0622,-53.0069,Casa Cristo Rei
655,Wanning,CN,69.6,scattered clouds,18.8003,110.3967,Paradise Hotel
656,Trairi,BR,79.81,overcast clouds,-3.2778,-39.2689,janelas do mar
660,Barao De Melgaco,BR,86.52,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
661,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
662,Kluang,MY,73.13,light rain,2.0251,103.3328,Hotel Anika
664,Cozumel,MX,77.07,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
666,Thoen,TH,70.56,broken clouds,17.6129,99.2161,Nakornthoen Hotel
667,San Policarpo,PH,78.62,light rain,12.1791,125.5072,Agapita M. Nicart
668,North Myrtle Beach,US,68.25,clear sky,33.816,-78.68,Avista Resort
669,Torit,SS,88.93,overcast clouds,4.4133,32.5678,Diplomat Guest House
670,Pasni,PK,69.22,clear sky,25.2631,63.471,Kashmiri Hotal
671,Ipora,BR,69.71,overcast clouds,-16.4419,-51.1178,Oásis Motel
